Thu Dec 30 14:41:41 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:41 MSK 2021 | ERROR | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:41 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:41 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:42 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:43 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:44 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:45 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:47 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:48 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:48 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:48 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:50 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:50 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:51 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:52 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:52 MSK 2021 | INFO | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:54 MSK 2021 | INFO | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:54 MSK 2021 | ERROR | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:55 MSK 2021 | INFO | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:56 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:56 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:57 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:58 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:41:58 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:41:58 MSK 2021 | ERROR | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:41:59 MSK 2021 | ERROR | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:00 MSK 2021 | INFO | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:01 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:02 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:03 MSK 2021 | INFO | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:04 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:04 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:05 MSK 2021 | DEBUG | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:05 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:06 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:06 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:07 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:07 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:08 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:08 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:11 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:11 MSK 2021 | ERROR | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:11 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:12 MSK 2021 | WARN | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:12 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:13 MSK 2021 | WARN | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:15 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:16 MSK 2021 | INFO | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:16 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:17 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:18 MSK 2021 | INFO | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:18 MSK 2021 | ERROR | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:19 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:20 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:22 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:22 MSK 2021 | WARN | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:23 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:23 MSK 2021 | ERROR | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:23 MSK 2021 | INFO | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:24 MSK 2021 | WARN | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:26 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:27 MSK 2021 | INFO | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:27 MSK 2021 | WARN | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:29 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:30 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:30 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:31 MSK 2021 | INFO | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:31 MSK 2021 | WARN | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:32 MSK 2021 | INFO | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:32 MSK 2021 | DEBUG | Thread-1 |  сообщение об ошибке  | 
Thu Dec 30 14:42:35 MSK 2021 | WARN | Thread-0 |  сообщение об ошибке  | 
Thu Dec 30 14:42:35 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
Thu Dec 30 14:42:35 MSK 2021 | DEBUG | Thread-2 |  сообщение об ошибке  | 
